DOCUMENTO 1
   Término   TF         IDF        TF-IDF     Índice
       oak   1.000000   0.301030   0.301030   4
       and   3.000000   0.000000   0.000000   5
 oakdriven   1.000000   0.698970   0.698970   6
    aromas   1.000000   0.000000   0.000000   7
      that   2.000000   0.477121   0.954242   8
   include   1.000000   1.000000   1.000000   9
   roasted   1.000000   1.000000   1.000000   10
    coffee   1.000000   1.000000   1.000000   11
      bean   1.000000   1.000000   1.000000   12
  espresso   1.000000   1.000000   1.000000   13
   coconut   1.000000   1.000000   1.000000   14
       and   3.000000   0.000000   0.000000   15
   vanilla   1.000000   0.698970   0.698970   16
      that   2.000000   0.477121   0.954242   17
     carry   1.000000   0.698970   0.698970   18
      over   1.000000   0.698970   0.698970   19
        to   1.000000   0.301030   0.301030   20
       the   1.000000   0.000000   0.000000   21
    palate   1.000000   0.301030   0.301030   22
  together   1.000000   1.000000   1.000000   23
      with   1.000000   0.000000   0.000000   24
      plum   1.000000   0.477121   0.477121   25
       and   3.000000   0.000000   0.000000   26
 chocolate   1.000000   1.000000   1.000000   27
Astringent   1.000000   1.000000   1.000000   28
    drying   1.000000   1.000000   1.000000   29
   tannins   1.000000   1.000000   1.000000   30
      give   1.000000   1.000000   1.000000   31
        it   1.000000   1.000000   1.000000   32
         a   1.000000   0.000000   0.000000   33
    rather   1.000000   1.000000   1.000000   34
    abrupt   1.000000   1.000000   1.000000   35
    finish   1.000000   0.477121   0.477121   36

DOCUMENTO 4
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
  Building   1.000000   1.000000   1.000000   0
        on   1.000000   0.301030   0.301030   1
       150   1.000000   1.000000   1.000000   2
     years   1.000000   1.000000   1.000000   3
       and   1.000000   0.000000   0.000000   4
       six   1.000000   1.000000   1.000000   5
generations   1.000000   1.000000   1.000000   6
        of   1.000000   0.000000   0.000000   7
winemaking   1.000000   1.000000   1.000000   8
 tradition   1.000000   1.000000   1.000000   9
       the   2.000000   0.000000   0.000000   10
    winery   1.000000   1.000000   1.000000   11
    trends   1.000000   1.000000   1.000000   12
    toward   1.000000   1.000000   1.000000   13
         a   1.000000   0.000000   0.000000   14
    leaner   1.000000   1.000000   1.000000   15
     style   1.000000   1.000000   1.000000   16
      with   1.000000   0.000000   0.000000   17
       the   2.000000   0.000000   0.000000   18
   classic   1.000000   1.000000   1.000000   19
California   1.000000   1.000000   1.000000   20
buttercream   1.000000   1.000000   1.000000   21
     aroma   1.000000   1.000000   1.000000   22
       cut   1.000000   1.000000   1.000000   23
        by   1.000000   0.301030   0.301030   24
      tart   1.000000   0.698970   0.698970   25
     green   1.000000   0.698970   0.698970   26
     apple   1.000000   0.698970   0.698970   27
        In   1.000000   1.000000   1.000000   28
      this   1.000000   0.301030   0.301030   29
      good   1.000000   0.698970   0.698970   30
  everyday   1.000000   1.000000   1.000000   31
   sipping   1.000000   1.000000   1.000000   32
      wine   1.000000   0.477121   0.477121   33
   flavors   1.000000   0.698970   0.698970   34
      that   1.000000   0.477121   0.477121   35
     range   1.000000   1.000000   1.000000   36
      from   1.000000   1.000000   1.000000   37
      pear   1.000000   1.000000   1.000000   38
        to   1.000000   0.301030   0.301030   39
    barely   1.000000   1.000000   1.000000   40
      ripe   1.000000   1.000000   1.000000   41
 pineapple   1.000000   1.000000   1.000000   42
     prove   1.000000   1.000000   1.000000   43
approachable   1.000000   0.698970   0.698970   44
       but   1.000000   0.301030   0.301030   45
       not   1.000000   1.000000   1.000000   46
distinctive   1.000000   1.000000   1.000000   47

DOCUMENTO 5
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
     Zesty   1.000000   1.000000   1.000000   0
    orange   1.000000   1.000000   1.000000   1
     peels   1.000000   1.000000   1.000000   2
       and   2.000000   0.000000   0.000000   3
     apple   1.000000   0.698970   0.698970   4
     notes   1.000000   0.477121   0.477121   5
    abound   1.000000   1.000000   1.000000   6
        in   1.000000   0.301030   0.301030   7
      this   1.000000   0.301030   0.301030   8
 sprightly   1.000000   1.000000   1.000000   9
mineraltoned   1.000000   1.000000   1.000000   10
  Riesling   1.000000   1.000000   1.000000   11
       Off   1.000000   1.000000   1.000000   12
       dry   1.000000   0.698970   0.698970   13
        on   1.000000   0.301030   0.301030   14
       the   1.000000   0.000000   0.000000   15
    palate   1.000000   0.301030   0.301030   16
       yet   1.000000   1.000000   1.000000   17
      racy   1.000000   1.000000   1.000000   18
       and   2.000000   0.000000   0.000000   19
      lean   1.000000   1.000000   1.000000   20
      it's   1.000000   1.000000   1.000000   21
         a   1.000000   0.000000   0.000000   22
refreshing   1.000000   1.000000   1.000000   23
      easy   1.000000   1.000000   1.000000   24
   quaffer   1.000000   1.000000   1.000000   25
      with   1.000000   0.000000   0.000000   26
      wide   1.000000   1.000000   1.000000   27
    appeal   1.000000   1.000000   1.000000   28

DOCUMENTO 6
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
     Baked   1.000000   1.000000   1.000000   0
      plum   2.000000   0.477121   0.954242   1
  molasses   1.000000   1.000000   1.000000   2
  balsamic   1.000000   1.000000   1.000000   3
   vinegar   1.000000   1.000000   1.000000   4
       and   4.000000   0.000000   0.000000   5
    cheesy   1.000000   1.000000   1.000000   6
       oak   1.000000   0.301030   0.301030   7
    aromas   1.000000   0.000000   0.000000   8
      feed   1.000000   1.000000   1.000000   9
      into   1.000000   1.000000   1.000000   10
         a   2.000000   0.000000   0.000000   11
    palate   1.000000   0.301030   0.301030   12
    that's   1.000000   1.000000   1.000000   13
    braced   1.000000   1.000000   1.000000   14
        by   1.000000   0.301030   0.301030   15
         a   2.000000   0.000000   0.000000   16
      bolt   1.000000   1.000000   1.000000   17
        of   2.000000   0.000000   0.000000   18
   acidity   1.000000   1.000000   1.000000   19
         A   1.000000   0.698970   0.698970   20
   compact   1.000000   1.000000   1.000000   21
       set   1.000000   1.000000   1.000000   22
        of   2.000000   0.000000   0.000000   23
     saucy   1.000000   1.000000   1.000000   24
  redberry   1.000000   1.000000   1.000000   25
       and   4.000000   0.000000   0.000000   26
      plum   2.000000   0.477121   0.954242   27
   flavors   1.000000   0.698970   0.698970   28
  features   1.000000   1.000000   1.000000   29
   tobacco   1.000000   0.698970   0.698970   30
       and   4.000000   0.000000   0.000000   31
   peppery   1.000000   1.000000   1.000000   32
   accents   1.000000   1.000000   1.000000   33
     while   1.000000   1.000000   1.000000   34
       the   1.000000   0.000000   0.000000   35
    finish   1.000000   0.477121   0.477121   36
        is   1.000000   0.301030   0.301030   37
    mildly   1.000000   1.000000   1.000000   38
     green   1.000000   0.698970   0.698970   39
        in   1.000000   0.301030   0.301030   40
    flavor   1.000000   0.698970   0.698970   41
      with   1.000000   0.000000   0.000000   42
respectable   1.000000   1.000000   1.000000   43
    weight   1.000000   1.000000   1.000000   44
       and   4.000000   0.000000   0.000000   45
   balance   1.000000   1.000000   1.000000   46

DOCUMENTO 7
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
       Raw   1.000000   1.000000   1.000000   0
blackcherry   1.000000   1.000000   1.000000   1
    aromas   1.000000   0.000000   0.000000   2
       are   1.000000   1.000000   1.000000   3
    direct   1.000000   1.000000   1.000000   4
       and   3.000000   0.000000   0.000000   5
    simple   1.000000   1.000000   1.000000   6
       but   2.000000   0.301030   0.602060   7
      good   1.000000   0.698970   0.698970   8
      This   1.000000   0.301030   0.301030   9
       has   1.000000   1.000000   1.000000   10
         a   1.000000   0.000000   0.000000   11
     juicy   1.000000   0.698970   0.698970   12
      feel   1.000000   1.000000   1.000000   13
      that   1.000000   0.477121   0.477121   14
  thickens   1.000000   1.000000   1.000000   15
      over   1.000000   0.698970   0.698970   16
      time   1.000000   1.000000   1.000000   17
      with   1.000000   0.000000   0.000000   18
       oak   2.000000   0.301030   0.602060   19
 character   1.000000   0.698970   0.698970   20
       and   3.000000   0.000000   0.000000   21
   extract   1.000000   1.000000   1.000000   22
  becoming   1.000000   1.000000   1.000000   23
      more   1.000000   1.000000   1.000000   24
  apparent   1.000000   1.000000   1.000000   25
         A   1.000000   0.698970   0.698970   26
    flavor   1.000000   0.698970   0.698970   27
   profile   1.000000   1.000000   1.000000   28
    driven   1.000000   1.000000   1.000000   29
        by   1.000000   0.301030   0.301030   30
 darkberry   1.000000   1.000000   1.000000   31
    fruits   1.000000   1.000000   1.000000   32
       and   3.000000   0.000000   0.000000   33
smoldering   1.000000   1.000000   1.000000   34
       oak   2.000000   0.301030   0.602060   35
  finishes   1.000000   1.000000   1.000000   36
     meaty   1.000000   1.000000   1.000000   37
       but   2.000000   0.301030   0.602060   38
       hot   1.000000   1.000000   1.000000   39

DOCUMENTO 8
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
Desiccated   1.000000   1.000000   1.000000   0
blackberry   2.000000   1.000000   2.000000   1
   leather   1.000000   1.000000   1.000000   2
   charred   1.000000   1.000000   1.000000   3
      wood   1.000000   1.000000   1.000000   4
       and   4.000000   0.000000   0.000000   5
      mint   1.000000   1.000000   1.000000   6
    aromas   2.000000   0.000000   0.000000   7
     carry   1.000000   0.698970   0.698970   8
       the   2.000000   0.000000   0.000000   9
      nose   1.000000   0.698970   0.698970   10
        on   2.000000   0.301030   0.602060   11
      this   1.000000   0.301030   0.301030   12
fullbodied   1.000000   1.000000   1.000000   13
    tannic   1.000000   0.698970   0.698970   14
   heavily   1.000000   1.000000   1.000000   15
     oaked   1.000000   1.000000   1.000000   16
     Tinto   1.000000   1.000000   1.000000   17
      Fino   1.000000   1.000000   1.000000   18
   Flavors   1.000000   1.000000   1.000000   19
        of   2.000000   0.000000   0.000000   20
     clove   1.000000   1.000000   1.000000   21
       and   4.000000   0.000000   0.000000   22
 woodspice   1.000000   1.000000   1.000000   23
       sit   1.000000   1.000000   1.000000   24
        on   2.000000   0.301030   0.602060   25
       top   1.000000   1.000000   1.000000   26
        of   2.000000   0.000000   0.000000   27
blackberry   2.000000   1.000000   2.000000   28
     fruit   1.000000   0.698970   0.698970   29
      then   1.000000   1.000000   1.000000   30
   hickory   1.000000   1.000000   1.000000   31
       and   4.000000   0.000000   0.000000   32
     other   1.000000   1.000000   1.000000   33
  forceful   1.000000   1.000000   1.000000   34
  oakbased   1.000000   1.000000   1.000000   35
    aromas   2.000000   0.000000   0.000000   36
      rise   1.000000   1.000000   1.000000   37
        up   1.000000   0.698970   0.698970   38
       and   4.000000   0.000000   0.000000   39
  dominate   1.000000   1.000000   1.000000   40
       the   2.000000   0.000000   0.000000   41
    finish   1.000000   0.477121   0.477121   42

DOCUMENTO 9
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
       Red   1.000000   1.000000   1.000000   0
     fruit   1.000000   0.698970   0.698970   1
    aromas   1.000000   0.000000   0.000000   2
   pervade   1.000000   1.000000   1.000000   3
        on   2.000000   0.301030   0.602060   4
       the   2.000000   0.000000   0.000000   5
      nose   1.000000   0.698970   0.698970   6
      with   2.000000   0.000000   0.000000   7
     cigar   1.000000   0.698970   0.698970   8
       box   1.000000   0.698970   0.698970   9
       and   4.000000   0.000000   0.000000   10
   menthol   1.000000   1.000000   1.000000   11
     notes   2.000000   0.477121   0.954242   12
    riding   1.000000   1.000000   1.000000   13
        in   1.000000   0.301030   0.301030   14
       the   2.000000   0.000000   0.000000   15
      back   1.000000   1.000000   1.000000   16
       The   1.000000   0.698970   0.698970   17
    palate   1.000000   0.301030   0.301030   18
        is   2.000000   0.301030   0.602060   19
  slightly   1.000000   1.000000   1.000000   20
restrained   1.000000   1.000000   1.000000   21
        on   2.000000   0.301030   0.602060   22
     entry   1.000000   1.000000   1.000000   23
       but   1.000000   0.301030   0.301030   24
     opens   1.000000   1.000000   1.000000   25
        up   1.000000   0.698970   0.698970   26
        to   2.000000   0.301030   0.602060   27
     riper   1.000000   1.000000   1.000000   28
     notes   2.000000   0.477121   0.954242   29
        of   2.000000   0.000000   0.000000   30
    cherry   1.000000   0.698970   0.698970   31
       and   4.000000   0.000000   0.000000   32
      plum   1.000000   0.477121   0.477121   33
   specked   1.000000   1.000000   1.000000   34
      with   2.000000   0.000000   0.000000   35
   crushed   1.000000   1.000000   1.000000   36
    pepper   1.000000   0.477121   0.477121   37
      This   1.000000   0.301030   0.301030   38
     blend   1.000000   1.000000   1.000000   39
        of   2.000000   0.000000   0.000000   40
    Merlot   1.000000   1.000000   1.000000   41
  Cabernet   2.000000   1.000000   2.000000   42
 Sauvignon   1.000000   1.000000   1.000000   43
       and   4.000000   0.000000   0.000000   44
  Cabernet   2.000000   1.000000   2.000000   45
     Franc   1.000000   1.000000   1.000000   46
        is   2.000000   0.301030   0.602060   47
approachable   1.000000   0.698970   0.698970   48
       now   1.000000   1.000000   1.000000   49
       and   4.000000   0.000000   0.000000   50
     ready   1.000000   1.000000   1.000000   51
        to   2.000000   0.301030   0.602060   52
        be   1.000000   1.000000   1.000000   53
   enjoyed   1.000000   1.000000   1.000000   54

DOCUMENTO 10
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
      Ripe   1.000000   1.000000   1.000000   0
    aromas   1.000000   0.000000   0.000000   1
        of   4.000000   0.000000   0.000000   2
      dark   1.000000   1.000000   1.000000   3
   berries   1.000000   1.000000   1.000000   4
    mingle   1.000000   1.000000   1.000000   5
      with   1.000000   0.000000   0.000000   6
     ample   1.000000   1.000000   1.000000   7
     notes   2.000000   0.477121   0.954242   8
        of   4.000000   0.000000   0.000000   9
     black   1.000000   0.698970   0.698970   10
    pepper   1.000000   0.477121   0.477121   11
   toasted   1.000000   1.000000   1.000000   12
   vanilla   1.000000   0.698970   0.698970   13
       and   1.000000   0.000000   0.000000   14
     dusty   1.000000   1.000000   1.000000   15
   tobacco   1.000000   0.698970   0.698970   16
       The   1.000000   0.698970   0.698970   17
    palate   1.000000   0.301030   0.301030   18
        is   1.000000   0.301030   0.301030   19
 oakdriven   1.000000   0.698970   0.698970   20
        in   1.000000   0.301030   0.301030   21
    nature   1.000000   1.000000   1.000000   22
       but   1.000000   0.301030   0.301030   23
     notes   2.000000   0.477121   0.954242   24
        of   4.000000   0.000000   0.000000   25
      tart   1.000000   0.698970   0.698970   26
       red   1.000000   1.000000   1.000000   27
   currant   1.000000   1.000000   1.000000   28
     shine   1.000000   1.000000   1.000000   29
   through   1.000000   1.000000   1.000000   30
  offering   1.000000   1.000000   1.000000   31
         a   1.000000   0.000000   0.000000   32
       bit   1.000000   1.000000   1.000000   33
        of   4.000000   0.000000   0.000000   34
    levity   1.000000   1.000000   1.000000   35

