DOCUMENTO 1
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
      This   1.000000   0.301030   0.301030   0
        is   1.000000   0.301030   0.301030   1
         a   3.000000   0.000000   0.000000   2
       dry   1.000000   0.698970   0.698970   3
      wine   2.000000   0.477121   0.954242   4
      very   1.000000   1.000000   1.000000   5
     spicy   1.000000   1.000000   1.000000   6
      with   3.000000   0.000000   0.000000   7
         a   3.000000   0.000000   0.000000   8
     tight   1.000000   1.000000   1.000000   9
      taut   1.000000   1.000000   1.000000   10
   texture   1.000000   1.000000   1.000000   11
       and   1.000000   0.000000   0.000000   12
  strongly   1.000000   1.000000   1.000000   13
   mineral   1.000000   1.000000   1.000000   14
 character   1.000000   0.698970   0.698970   15
   layered   1.000000   1.000000   1.000000   16
      with   3.000000   0.000000   0.000000   17
    citrus   1.000000   1.000000   1.000000   18
        as   2.000000   1.000000   2.000000   19
      well   1.000000   1.000000   1.000000   20
        as   2.000000   1.000000   2.000000   21
    pepper   1.000000   0.477121   0.477121   22
      It's   1.000000   1.000000   1.000000   23
         a   3.000000   0.000000   0.000000   24
      food   1.000000   1.000000   1.000000   25
      wine   2.000000   0.477121   0.954242   26
      with   3.000000   0.000000   0.000000   27
       its   1.000000   1.000000   1.000000   28
    almost   1.000000   1.000000   1.000000   29
     crisp   1.000000   1.000000   1.000000   30
aftertaste   1.000000   1.000000   1.000000   31

DOCUMENTO 2
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
  Slightly   1.000000   1.000000   1.000000   0
   reduced   1.000000   1.000000   1.000000   1
      this   1.000000   0.301030   0.301030   2
      wine   1.000000   0.477121   0.477121   3
    offers   1.000000   1.000000   1.000000   4
         a   1.000000   0.000000   0.000000   5
    chalky   1.000000   1.000000   1.000000   6
    tannic   1.000000   0.698970   0.698970   7
  backbone   1.000000   1.000000   1.000000   8
        to   1.000000   0.301030   0.301030   9
        an   1.000000   1.000000   1.000000   10
 otherwise   1.000000   1.000000   1.000000   11
     juicy   1.000000   0.698970   0.698970   12
 explosion   1.000000   1.000000   1.000000   13
        of   1.000000   0.000000   0.000000   14
      rich   1.000000   1.000000   1.000000   15
     black   1.000000   0.698970   0.698970   16
    cherry   1.000000   0.698970   0.698970   17
       the   1.000000   0.000000   0.000000   18
     whole   1.000000   1.000000   1.000000   19
  accented   1.000000   1.000000   1.000000   20
throughout   1.000000   1.000000   1.000000   21
        by   1.000000   0.301030   0.301030   22
      firm   1.000000   1.000000   1.000000   23
       oak   1.000000   0.301030   0.301030   24
       and   1.000000   0.000000   0.000000   25
     cigar   1.000000   0.698970   0.698970   26
       box   1.000000   0.698970   0.698970   27

DOCUMENTO 3
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
      This   1.000000   0.301030   0.301030   0
        is   1.000000   0.301030   0.301030   1
 dominated   1.000000   1.000000   1.000000   2
        by   1.000000   0.301030   0.301030   3
