DOCUMENTO 1
   Término   TF         IDF        TF-IDF     Índice
       the   3.000000   0.000000   0.000000   4
     Erath   1.000000   1.301030   1.301030   5
      2010   1.000000   1.301030   1.301030   6
  vineyard   1.000000   1.301030   1.301030   7
designates   1.000000   1.301030   1.301030   8
      this   1.000000   0.000000   0.000000   9
        is   1.000000   0.000000   0.000000   10
  strongly   1.000000   1.301030   1.301030   11
    herbal   1.000000   1.301030   1.301030   12
       The   2.000000   0.301030   0.602060   13
     notes   1.000000   0.477121   0.477121   14
        of   4.000000   0.000000   0.000000   15
      leaf   1.000000   1.301030   1.301030   16
       and   1.000000   0.000000   0.000000   17
      herb   1.000000   1.000000   1.000000   18
    create   1.000000   1.301030   1.301030   19
  somewhat   1.000000   1.301030   1.301030   20
    unripe   1.000000   1.301030   1.301030   21
    flavor   1.000000   0.602060   0.602060   22
impressions   1.000000   1.301030   1.301030   23
      with   2.000000   0.000000   0.000000   24
         a   1.000000   0.000000   0.000000   25
     touch   1.000000   1.000000   1.000000   26
        of   4.000000   0.000000   0.000000   27
bitterness   1.000000   1.000000   1.000000   28
        on   1.000000   0.778151   0.778151   29
       the   3.000000   0.000000   0.000000   30
    finish   1.000000   0.602060   0.602060   31
       The   2.000000   0.301030   0.602060   32
     fruit   1.000000   0.301030   0.301030   33
      just   1.000000   1.301030   1.301030   34
    passes   1.000000   1.301030   1.301030   35
       the   3.000000   0.000000   0.000000   36
  ripeness   1.000000   1.301030   1.301030   37
        of   4.000000   0.000000   0.000000   38
     sweet   1.000000   0.698970   0.698970   39
  tomatoes   1.000000   1.301030   1.301030   40

DOCUMENTO 7
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
     White   1.000000   1.301030   1.301030   0
    flower   1.000000   1.301030   1.301030   1
    lychee   1.000000   1.301030   1.301030   2
       and   4.000000   0.000000   0.000000   3
     apple   1.000000   1.301030   1.301030   4
    aromas   1.000000   0.602060   0.602060   5
     carry   1.000000   1.301030   1.301030   6
       the   3.000000   0.000000   0.000000   7
    mellow   1.000000   1.301030   1.301030   8
   bouquet   1.000000   1.301030   1.301030   9
       The   2.000000   0.301030   0.602060   10
chunkyfeeling   1.000000   1.301030   1.301030   11
    palate   1.000000   0.602060   0.602060   12
     bears   1.000000   1.301030   1.301030   13
   powdery   1.000000   1.301030   1.301030   14
     sweet   1.000000   0.698970   0.698970   15
   flavors   1.000000   0.301030   0.301030   16
        of   3.000000   0.000000   0.000000   17
     peach   1.000000   1.301030   1.301030   18
       and   4.000000   0.000000   0.000000   19
     melon   1.000000   1.301030   1.301030   20
     mixed   1.000000   1.301030   1.301030   21
      with   2.000000   0.000000   0.000000   22
   greener   1.000000   1.301030   1.301030   23
     notes   1.000000   0.477121   0.477121   24
        of   3.000000   0.000000   0.000000   25
     grass   1.000000   1.000000   1.000000   26
       and   4.000000   0.000000   0.000000   27
      lime   1.000000   1.301030   1.301030   28
       The   2.000000   0.301030   0.602060   29
