DOCUMENTO 1
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
    Aromas   1.000000   1.000000   1.000000   0
   include   1.000000   1.000000   1.000000   1
  tropical   1.000000   1.000000   1.000000   2
     fruit   1.000000   0.698970   0.698970   3
     broom   1.000000   1.000000   1.000000   4
 brimstone   1.000000   1.000000   1.000000   5
       and   2.000000   0.000000   0.000000   6
     dried   2.000000   0.698970   1.397940   7
      herb   1.000000   0.698970   0.698970   8
       The   1.000000   0.477121   0.477121   9
    palate   1.000000   0.477121   0.477121   10
     isn't   1.000000   1.000000   1.000000   11
    overly   1.000000   1.000000   1.000000   12
expressive   1.000000   1.000000   1.000000   13
  offering   1.000000   1.000000   1.000000   14
 unripened   1.000000   1.000000   1.000000   15
     apple   1.000000   0.698970   0.698970   16
    citrus   1.000000   1.000000   1.000000   17
       and   2.000000   0.000000   0.000000   18
     dried   2.000000   0.698970   1.397940   19
      sage   1.000000   1.000000   1.000000   20
 alongside   1.000000   1.000000   1.000000   21
     brisk   1.000000   0.698970   0.698970   22
   acidity   1.000000   0.000000   0.000000   23

DOCUMENTO 2
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
      This   1.000000   0.477121   0.477121   0
        is   2.000000   0.477121   0.954242   1
      ripe   1.000000   1.000000   1.000000   2
       and   2.000000   0.000000   0.000000   3
    fruity   1.000000   0.698970   0.698970   4
         a   1.000000   0.000000   0.000000   5
      wine   1.000000   0.301030   0.301030   6
      that   1.000000   0.698970   0.698970   7
        is   2.000000   0.477121   0.954242   8
    smooth   1.000000   1.000000   1.000000   9
     while   1.000000   0.477121   0.477121   10
     still   1.000000   1.000000   1.000000   11
structured   1.000000   1.000000   1.000000   12
      Firm   1.000000   1.000000   1.000000   13
   tannins   1.000000   0.698970   0.698970   14
       are   1.000000   1.000000   1.000000   15
    filled   1.000000   1.000000   1.000000   16
       out   1.000000   1.000000   1.000000   17
      with   2.000000   0.000000   0.000000   18
     juicy   1.000000   1.000000   1.000000   19
       red   1.000000   0.698970   0.698970   20
     berry   1.000000   0.698970   0.698970   21
    fruits   1.000000   0.698970   0.698970   22
       and   2.000000   0.000000   0.000000   23
 freshened   1.000000   1.000000   1.000000   24
      with   2.000000   0.000000   0.000000   25
   acidity   1.000000   0.000000   0.000000   26
