DOCUMENTO 1
   Término   TF         IDF        TF-IDF     Índice
      It's   1.000000   0.301030   0.301030   27
             1.000000   1.000000   1.000000   28
   already   1.000000   1.000000   1.000000   29
 drinkable   1.000000   1.000000   1.000000   30
  although   1.000000   1.000000   1.000000   31
        it   1.000000   0.698970   0.698970   32
      will   1.000000   1.000000   1.000000   33
 certainly   1.000000   1.000000   1.000000   34
        be   1.000000   1.000000   1.000000   35
    better   1.000000   1.000000   1.000000   36
      from   1.000000   0.698970   0.698970   37
      2016   1.000000   1.000000   1.000000   38

DOCUMENTO 3
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
      Tart   1.000000   1.000000   1.000000   0
       and   2.000000   0.000000   0.000000   1
    snappy   1.000000   1.000000   1.000000   2
       the   2.000000   0.301030   0.602060   3
   flavors   2.000000   0.477121   0.954242   4
        of   1.000000   0.000000   0.000000   5
      lime   1.000000   1.000000   1.000000   6
     flesh   1.000000   1.000000   1.000000   7
       and   2.000000   0.000000   0.000000   8
      rind   1.000000   0.698970   0.698970   9
  dominate   1.000000   1.000000   1.000000   10
      Some   1.000000   1.000000   1.000000   11
     green   1.000000   0.698970   0.698970   12
 pineapple   1.000000   1.000000   1.000000   13
     pokes   1.000000   1.000000   1.000000   14
   through   1.000000   1.000000   1.000000   15
      with   1.000000   0.000000   0.000000   16
     crisp   1.000000   0.698970   0.698970   17
   acidity   1.000000   0.000000   0.000000   18
underscoring   1.000000   1.000000   1.000000   19
       the   2.000000   0.301030   0.602060   20
   flavors   2.000000   0.477121   0.954242   21
       The   1.000000   0.477121   0.477121   22
      wine   1.000000   0.301030   0.301030   23
       was   1.000000   1.000000   1.000000   24
       all   1.000000   1.000000   1.000000   25
stainlesssteel   1.000000   1.000000   1.000000   26
 fermented   1.000000   1.000000   1.000000   27

DOCUMENTO 4
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
 Pineapple   1.000000   1.000000   1.000000   0
      rind   1.000000   0.698970   0.698970   1
     lemon   1.000000   1.000000   1.000000   2
      pith   1.000000   1.000000   1.000000   3
       and   2.000000   0.000000   0.000000   4
    orange   1.000000   1.000000   1.000000   5
   blossom   1.000000   1.000000   1.000000   6
     start   1.000000   1.000000   1.000000   7
       off   1.000000   0.698970   0.698970   8
       the   1.000000   0.301030   0.301030   9
    aromas   1.000000   0.477121   0.477121   10
       The   1.000000   0.477121   0.477121   11
    palate   1.000000   0.477121   0.477121   12
        is   1.000000   0.477121   0.477121   13
         a   2.000000   0.000000   0.000000   14
       bit   1.000000   1.000000   1.000000   15
      more   1.000000   1.000000   1.000000   16
   opulent   1.000000   1.000000   1.000000   17
      with   1.000000   0.000000   0.000000   18
     notes   1.000000   0.698970   0.698970   19
        of   1.000000   0.000000   0.000000   20
honeydrizzled   1.000000   1.000000   1.000000   21
     guava   1.000000   1.000000   1.000000   22
       and   2.000000   0.000000   0.000000   23
     mango   1.000000   1.000000   1.000000   24
    giving   1.000000   1.000000   1.000000   25
       way   1.000000   1.000000   1.000000   26
        to   1.000000   0.477121   0.477121   27
         a   2.000000   0.000000   0.000000   28
  slightly   1.000000   1.000000   1.000000   29
astringent   1.000000   1.000000   1.000000   30
   semidry   1.000000   1.000000   1.000000   31
    finish   1.000000   0.698970   0.698970   32

DOCUMENTO 5
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
      Much   1.000000   1.000000   1.000000   0
      like   1.000000   1.000000   1.000000   1
       the   1.000000   0.301030   0.301030   2
   regular   1.000000   1.000000   1.000000   3
  bottling   1.000000   1.000000   1.000000   4
      from   1.000000   0.698970   0.698970   5
      2012   1.000000   1.000000   1.000000   6
      this   1.000000   0.477121   0.477121   7
     comes   1.000000   1.000000   1.000000   8
    across   1.000000   1.000000   1.000000   9
        as   2.000000   1.000000   2.000000   10
    rather   1.000000   1.000000   1.000000   11
     rough   1.000000   1.000000   1.000000   12
       and   1.000000   0.000000   0.000000   13
    tannic   1.000000   1.000000   1.000000   14
      with   1.000000   0.000000   0.000000   15
    rustic   1.000000   1.000000   1.000000   16
    earthy   1.000000   1.000000   1.000000   17
    herbal   1.000000   0.698970   0.698970   18
characteristics   1.000000   1.000000   1.000000   19
Nonetheless   1.000000   1.000000   1.000000   20
        if   1.000000   1.000000   1.000000   21
       you   1.000000   1.000000   1.000000   22
     think   1.000000   1.000000   1.000000   23
        of   1.000000   0.000000   0.000000   24
        it   1.000000   0.698970   0.698970   25
        as   2.000000   1.000000   2.000000   26
         a   3.000000   0.000000   0.000000   27
pleasantly   1.000000   1.000000   1.000000   28
   unfussy   1.000000   1.000000   1.000000   29
   country   1.000000   1.000000   1.000000   30
      wine   1.000000   0.301030   0.301030   31
      it's   1.000000   0.698970   0.698970   32
         a   3.000000   0.000000   0.000000   33
      good   1.000000   1.000000   1.000000   34
 companion   1.000000   1.000000   1.000000   35
        to   1.000000   0.477121   0.477121   36
         a   3.000000   0.000000   0.000000   37
    hearty   1.000000   1.000000   1.000000   38
    winter   1.000000   1.000000   1.000000   39
      stew   1.000000   1.000000   1.000000   40

DOCUMENTO 6
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
Blackberry   1.000000   1.000000   1.000000   0
       and   2.000000   0.000000   0.000000   1
 raspberry   1.000000   1.000000   1.000000   2
    aromas   1.000000   0.477121   0.477121   3
      show   1.000000   1.000000   1.000000   4
         a   1.000000   0.000000   0.000000   5
   typical   1.000000   1.000000   1.000000   6
  Navarran   1.000000   1.000000   1.000000   7
     whiff   1.000000   1.000000   1.000000   8
        of   1.000000   0.000000   0.000000   9
     green   1.000000   0.698970   0.698970   10
     herbs   1.000000   1.000000   1.000000   11
       and   2.000000   0.000000   0.000000   12
        in   1.000000   0.477121   0.477121   13
      this   2.000000   0.477121   0.954242   14
      case   1.000000   1.000000   1.000000   15
horseradish   1.000000   1.000000   1.000000   16
        In   1.000000   1.000000   1.000000   17
       the   2.000000   0.301030   0.602060   18
     mouth   1.000000   1.000000   1.000000   19
      this   2.000000   0.477121   0.954242   20
        is   2.000000   0.477121   0.954242   21
    fairly   1.000000   1.000000   1.000000   22
      full   1.000000   1.000000   1.000000   23
    bodied   1.000000   1.000000   1.000000   24
      with   1.000000   0.000000   0.000000   25
  tomatoey   1.000000   1.000000   1.000000   26
   acidity   1.000000   0.000000   0.000000   27
     Spicy   1.000000   1.000000   1.000000   28
    herbal   1.000000   0.698970   0.698970   29
   flavors   1.000000   0.477121   0.477121   30
complement   1.000000   1.000000   1.000000   31
      dark   1.000000   1.000000   1.000000   32
      plum   1.000000   1.000000   1.000000   33
     fruit   1.000000   0.698970   0.698970   34
     while   1.000000   0.477121   0.477121   35
       the   2.000000   0.301030   0.602060   36
    finish   1.000000   0.698970   0.698970   37
        is   2.000000   0.477121   0.954242   38
     fresh   1.000000   0.301030   0.301030   39
       but   1.000000   1.000000   1.000000   40
    grabby   1.000000   1.000000   1.000000   41

DOCUMENTO 7
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
    Here's   1.000000   1.000000   1.000000   0
         a   1.000000   0.000000   0.000000   1
    bright   1.000000   1.000000   1.000000   2
  informal   1.000000   1.000000   1.000000   3
       red   1.000000   0.698970   0.698970   4
      that   2.000000   0.698970   1.397940   5
     opens   1.000000   1.000000   1.000000   6
      with   2.000000   0.000000   0.000000   7
    aromas   1.000000   0.477121   0.477121   8
        of   1.000000   0.000000   0.000000   9
   candied   1.000000   1.000000   1.000000   10
     berry   1.000000   0.698970   0.698970   11
     white   1.000000   1.000000   1.000000   12
    pepper   1.000000   1.000000   1.000000   13
       and   2.000000   0.000000   0.000000   14
    savory   1.000000   1.000000   1.000000   15
      herb   1.000000   0.698970   0.698970   16
      that   2.000000   0.698970   1.397940   17
     carry   1.000000   1.000000   1.000000   18
      over   1.000000   1.000000   1.000000   19
        to   1.000000   0.477121   0.477121   20
       the   1.000000   0.301030   0.301030   21
    palate   1.000000   0.477121   0.477121   22
      It's   1.000000   0.301030   0.301030   23
  balanced   1.000000   0.698970   0.698970   24
      with   2.000000   0.000000   0.000000   25
     fresh   1.000000   0.301030   0.301030   26
   acidity   1.000000   0.000000   0.000000   27
       and   2.000000   0.000000   0.000000   28
      soft   1.000000   1.000000   1.000000   29
   tannins   1.000000   0.698970   0.698970   30

DOCUMENTO 8
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
      This   1.000000   0.477121   0.477121   0
       dry   1.000000   0.698970   0.698970   1
       and   2.000000   0.000000   0.000000   2
restrained   1.000000   1.000000   1.000000   3
      wine   1.000000   0.301030   0.301030   4
    offers   1.000000   1.000000   1.000000   5
     spice   1.000000   0.698970   0.698970   6
        in   1.000000   0.477121   0.477121   7
 profusion   1.000000   1.000000   1.000000   8
  Balanced   1.000000   1.000000   1.000000   9
      with   1.000000   0.000000   0.000000   10
   acidity   1.000000   0.000000   0.000000   11
       and   2.000000   0.000000   0.000000   12
         a   1.000000   0.000000   0.000000   13
      firm   1.000000   1.000000   1.000000   14
   texture   1.000000   0.698970   0.698970   15
      it's   1.000000   0.698970   0.698970   16
      very   1.000000   1.000000   1.000000   17
      much   1.000000   1.000000   1.000000   18
       for   1.000000   1.000000   1.000000   19
      food   1.000000   1.000000   1.000000   20

DOCUMENTO 9
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
    Savory   1.000000   1.000000   1.000000   0
     dried   1.000000   0.698970   0.698970   1
     thyme   1.000000   1.000000   1.000000   2
     notes   1.000000   0.698970   0.698970   3
    accent   1.000000   1.000000   1.000000   4
   sunnier   1.000000   1.000000   1.000000   5
   flavors   1.000000   0.477121   0.477121   6
        of   1.000000   0.000000   0.000000   7
 preserved   1.000000   1.000000   1.000000   8
     peach   1.000000   1.000000   1.000000   9
        in   1.000000   0.477121   0.477121   10
      this   1.000000   0.477121   0.477121   11
     brisk   1.000000   0.698970   0.698970   12
    offdry   1.000000   1.000000   1.000000   13
      wine   1.000000   0.301030   0.301030   14
      It's   1.000000   0.301030   0.301030   15
    fruity   1.000000   0.698970   0.698970   16
       and   1.000000   0.000000   0.000000   17
     fresh   1.000000   0.301030   0.301030   18
      with   1.000000   0.000000   0.000000   19
        an   1.000000   1.000000   1.000000   20
   elegant   1.000000   1.000000   1.000000   21
 sprightly   1.000000   1.000000   1.000000   22
 footprint   1.000000   1.000000   1.000000   23

DOCUMENTO 10
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
      This   1.000000   0.477121   0.477121   0
       has   1.000000   1.000000   1.000000   1
     great   1.000000   1.000000   1.000000   2
     depth   1.000000   1.000000   1.000000   3
        of   2.000000   0.000000   0.000000   4
    flavor   1.000000   1.000000   1.000000   5
      with   2.000000   0.000000   0.000000   6
       its   1.000000   1.000000   1.000000   7
     fresh   1.000000   0.301030   0.301030   8
     apple   1.000000   0.698970   0.698970   9
       and   3.000000   0.000000   0.000000   10
      pear   1.000000   1.000000   1.000000   11
    fruits   1.000000   0.698970   0.698970   12
       and   3.000000   0.000000   0.000000   13
     touch   1.000000   1.000000   1.000000   14
        of   2.000000   0.000000   0.000000   15
     spice   1.000000   0.698970   0.698970   16
      It's   1.000000   0.301030   0.301030   17
       off   1.000000   0.698970   0.698970   18
       dry   1.000000   0.698970   0.698970   19
     while   1.000000   0.477121   0.477121   20
  balanced   1.000000   0.698970   0.698970   21
      with   2.000000   0.000000   0.000000   22
   acidity   1.000000   0.000000   0.000000   23
       and   3.000000   0.000000   0.000000   24
         a   1.000000   0.000000   0.000000   25
     crisp   1.000000   0.698970   0.698970   26
   texture   1.000000   0.698970   0.698970   27
     Drink   1.000000   1.000000   1.000000   28
       now   1.000000   1.000000   1.000000   29

